intersection_id,control_type,hour,vehicle_count,emergency_vehicle_count,wait_time,emergency_wait_time,cycle_time,fuel_consumption,emissions,emergency_preemption_count,intersection_type,day
A1,ai,10,319,20,8.724858557446016,0.7422417516785025,14.49963609544034,5.767990990469491,9.949784458559872,7,suburban_medium,0
A1,ai,11,309,20,9.275141835775056,0.9695784034802531,15.450005815074215,5.6313714158384025,9.714115692321244,13,suburban_medium,0
A1,ai,12,280,9,8.63869790167582,0.6599537702695014,14.568944726914545,5.0662245750037345,8.739237391881442,6,suburban_medium,0
A1,ai,13,317,13,8.666239300645904,2.2336070611970054,14.01033743654065,5.746451844530571,9.912629431815235,8,suburban_medium,0
A1,ai,14,335,21,7.86187449271902,2.2160855834106905,15.715194999538632,6.005878732368172,10.360140813335097,12,suburban_medium,0
A1,ai,15,301,18,7.632335301374975,1.7786506610530226,13.866122074058046,5.348557861502788,9.226262311092308,12,suburban_medium,0
A1,ai,16,419,23,12.896940773668314,2.4403665466688067,14.143823870469879,10.091465458316009,20.889333498714134,13,suburban_medium,0
A1,ai,17,419,21,11.367157882193567,1.0805588862451456,13.50583686512845,9.839326642143142,20.367406149236302,10,suburban_medium,0
A1,ai,18,404,22,11.679388776569354,1.8167540905533992,15.407728387940058,9.543873402087282,19.75581794232067,11,suburban_medium,0
A1,ai,19,216,8,9.584071632869216,2.5202302012221507,13.963768245659997,3.8846978465356363,6.701103785273972,4,suburban_medium,0
A1,ai,20,274,14,9.1533947579017,0.5581644573704784,15.265646522017153,4.9750637504333755,8.581984969497572,11,suburban_medium,0
A1,ai,21,195,6,5.1994809213990605,0.14357191609444842,14.378974946647421,3.227758523497997,5.567883453034045,4,suburban_medium,0
A1,ai,22,77,5,6.482930477582313,0.12744876890495527,15.971980445846407,1.2614306355584661,2.175967846338354,1,suburban_medium,0
A1,ai,23,82,2,5.6287114173083825,1.9273775011276555,16.47753154420221,1.3296156037157127,2.2935869164096045,1,suburban_medium,0
